VIOLA 상태값 정의,,,,,,,
대상,,,상태,,색상,툴팁 출력,
클러스터 상태,,,GOOD,,초록,양호,
,,,UPGRADING,,파랑,엔진 업그레이드 중,
,,,REVERTING,,파랑,엔진 롤백 중,
,,,WARNING,,노랑,주의 필요,
,,,FAILED,,빨강,업그레이드/롤백 실패,
,,,CRITICAL,,빨강,점검 필요,
노드 상태,,,READY,,초록,정상,
,,,UPGRADING,,파랑,엔진 업그레이드 중,
,,,REVERTING,,파랑,엔진 롤백 중,
,,,CORDON,SchedulingDisabled,파랑,신규 파드 배치 제한,
,,,FAILED,,빨강,업그레이드/롤백 실패,
,,,NOT READY,,빨강,장애 발생,
,,,DOWN,,회색,전원 종료,
,,,UNKOWN,,회색,알 수 없음,
클러스터 연결 상태,,,SUCCESS,,초록,인프라 연결 완료,
,,,PENDING,,파랑,인프라 연결 중,
,,,PROVISIONING,,파랑,클러스터 생성 중,
,,,FAILED,,빨강,클러스터 생성 실패,
노드 세부 상태,,,GOOD,,초록,양호,
,,,WARNING,,노랑,주의 필요,
네임스페이스 상태,,,ACTIVE,,초록,활성화,
,,,TERMINATING,,회색,삭제 중,
백업 상태,,,New,,회색,신규 생성,
,,,InProgress,,파랑,백업 진행 중,
,,,ParticallyFailed,,노랑,백업 부분 실패,
,,,Failed,,빨강,백업 실패,
,,,Completed,,초록,백업 완료,
,,,Unkown,,회색,알 수 없음,
백업 복원 상태,,,New,,회색,신규 생성,
,,,InProgress,,파랑,복원 진행 중,
,,,ParticallyFailed,,노랑,복원 부분 실패,
,,,Failed,,빨강,복원 실패,
,,,Completed,,초록,복원 완료,
,,,Unkown,,회색,알 수 없음,
파드 상태,,,RUNNING,,초록,정상 실행 중,
,,,SUCCEEDED,,초록,파드 실행 완료,
,,,Completed,,,컨테이너 정상 종료,
,,,PENDING,,파랑,생성 중,
,,,ContainerCreating,,,컨테이너 생성 중,
,,,PodInitializing,,,파드 시작 중,
,,,ImagePullBackOff,,빨강,이미지 다운로드 실패,
,,,CrashLoopBackOff,,,컨테이너 시작 실패,
,,,ErrImagePull,,,이미지 오류,
,,,CreateContainerConfigError,,,컨테이너 설정 오류,
,,,CreateContainerError,,,컨테이너 생성 실패,
,,,InvalidImageName,,,이미지 이름 오류,
,,,OOMKilled,,,메모리 부족,
,,,Error,,,비정상 종료,
,,,ContainerCannotRun,,,컨테이너 실행 불가,
,,,DeadlineExceeded,,,실행 시간 초과,
,,,FAILED,,,컨테이너 비정상 종료,
,,,TERMINATING,,회색,삭제 중,
,,,UNKNOWN,,회색,알 수 없음,
컨테이너 상태,,,RUNNING,,초록,정상 실행 중,
,,,WAITING,,파랑,생성 중,
,,,TERMINATED,,회색,종료됨,
파드 세부 상태,,,READY,,초록,정상,
,,,ERROR,,빨강,오류 발생,
디플로이먼트 상태,,,RUNNING,,초록,파드 정상 실행 중,
,,,UPDATING,,파랑,파드 준비 중,
,,,ERROR,,빨강,오류 발생,
,,,STOPPED,,회색,중지,
디플로이먼트 세부 상태,,,TRUE,,초록,정상,
,,,FALSE,,빨강,오류 발생,
데몬셋 상태,,,RUNNING,,초록,파드 정상 실행 중,
,,,UPDATING,,파랑,파드 준비 중,
,,,ERROR,,빨강,오류 발생,
,,,STOPPED,,회색,중지,
스테이트풀셋 상태,,,RUNNING,,초록,파드 정상 실행 중,
,,,UPDATING,,파랑,파드 준비 중,
,,,ERROR,,빨강,오류 발생,
,,,STOPPED,,회색,중지,
레플리카셋 상태,,,RUNNING,,초록,파드 정상 실행 중,
,,,UPDATING,,파랑,파드 준비 중,
,,,ERROR,,빨강,오류 발생,
,,,STOPPED,,회색,중지,
작업 상태,,,COMPLETED,,초록,작업 완료,
,,,RUNNING,,파랑,작업 중,
,,,SUSPENDED,,노랑,일시 중지,
,,,FAILED,,빨강,작업 실패,
,,,UNKNOWN,,회색,알 수 없음,
작업 세부 상태,,,TRUE,,초록,성공,
,,,FALSE,,빨강,실패,
HPA 세부 상태,,,TRUE,,초록,정상,
,,,FALSE,,빨강,오류 발생,
VPA 세부 상태,,,TRUE,,초록,정상,
,,,FALSE,,빨강,오류 발생,
HPA 스케줄 실행 상태,,,RUNNING,,초록,HPA 작동 중,
,,,COMPLETED,,초록,정상 완료,
,,,Scheduled,,파랑,실행 예정,
,,,ERROR,,빨강,오류 발생,
퍼시스턴트 볼륨 클레임 상태,,,BOUND,,초록,정상 작동 중,
,,,PENDING,,파랑,연결 중,
,,,LOST,,빨강,작동 불가,
,,,TERMINATING,,회색,삭제 중,
퍼시스턴트 볼륨 상태,,,AVAILABLE,,초록,사용 가능,
,,,BOUND,,파랑,사용 중,
,,,Released,,노랑,초기화 필요,
,,,ERROR,FAILED,빨강,오류 발생,
,,,TERMINATING,,회색,삭제 중,
배포 상태,,,DEPLOYED,DEPLOYED,초록,배포 완료,
,,,,ROLLEDBACK,,,
,,,,SUPERSEDED,,,
,,,PENDING,PENDING-INSTALL,파랑,배포 중,
,,,,PENDING-UPGRADE,,,
,,,,PENDING-ROLLBACK,,,
,,,FAILED,,빨강,배포 실패,
,,,DELETING,UNINSTALLING,회색,삭제 중,
,,,UNKNOWN,,회색,알 수 없음,